cluster_label,year,quarter,num_sales,sentiment_score,rating
7,2011,1,0,0.0,0.0
7,2011,2,1,4.2,1.0
7,2011,3,1,4.8,5.0
7,2011,4,2,3.35,3.0
7,2012,1,0,0.0,0.0
7,2012,2,1,4.7,4.0
7,2012,3,2,4.75,5.0
7,2012,4,3,4.766666666666667,5.0
7,2013,1,10,4.05,3.5
7,2013,2,6,4.8,4.166666666666667
7,2013,3,4,3.875,4.0
7,2013,4,4,4.425,4.75
7,2014,1,4,4.775,4.5
7,2014,2,4,3.0250000000000004,3.0
7,2014,3,9,4.322222222222222,4.555555555555555
7,2014,4,14,4.264285714285714,4.0
7,2015,1,28,3.682142857142857,3.6785714285714284
7,2015,2,68,3.7676470588235293,3.3970588235294117
7,2015,3,170,3.769411764705882,3.523529411764706
